filename,scenario_tag,camera,split,date,source_title,source_url,notes
PXL_20260809_121311639.jpg,user_beans_same_day,pixel,dev,2026-08-09,"PXL_20260809_121311639.jpg (user capture, EXIF stripped 2026-09-10)",,in-distribution positive (contains coffee beans); shot the same day as a training session -- not fully independent
PXL_20260809_121530650.jpg,user_beans_same_day,pixel,dev,2026-08-09,"PXL_20260809_121530650.jpg (user capture, EXIF stripped 2026-09-10)",,in-distribution positive (contains coffee beans); shot the same day as a training session -- not fully independent
PXL_20260809_121727912.jpg,user_beans_same_day,pixel,dev,2026-08-09,"PXL_20260809_121727912.jpg (user capture, EXIF stripped 2026-09-10)",,in-distribution positive (contains coffee beans); shot the same day as a training session -- not fully independent
PXL_20260809_121753037.jpg,user_beans_same_day,pixel,holdout,2026-08-09,"PXL_20260809_121753037.jpg (user capture, EXIF stripped 2026-09-10)",,in-distribution positive (contains coffee beans); shot the same day as a training session -- not fully independent
PXL_20260809_123112607.jpg,user_beans_same_day,pixel,dev,2026-08-09,"PXL_20260809_123112607.jpg (user capture, EXIF stripped 2026-09-10)",,in-distribution positive (contains coffee beans); shot the same day as a training session -- not fully independent
PXL_20260809_123148443.jpg,user_beans_same_day,pixel,holdout,2026-08-09,"PXL_20260809_123148443.jpg (user capture, EXIF stripped 2026-09-10)",,in-distribution positive (contains coffee beans); shot the same day as a training session -- not fully independent
PXL_20260823_145320597.jpg,user_beans_independent,pixel,dev,2026-08-23,"PXL_20260823_145320597.jpg (user capture, EXIF stripped 2026-09-10)",,in-distribution positive (contains coffee beans); independent of every training session
PXL_20260823_145406723.jpg,user_beans_independent,pixel,dev,2026-08-23,"PXL_20260823_145406723.jpg (user capture, EXIF stripped 2026-09-10)",,in-distribution positive (contains coffee beans); independent of every training session
PXL_20260824_174917686.jpg,user_beans_independent,pixel,dev,2026-08-24,"PXL_20260824_174917686.jpg (user capture, EXIF stripped 2026-09-10)",,in-distribution positive (contains coffee beans); independent of every training session
PXL_20260824_175231515.jpg,user_beans_independent,pixel,holdout,2026-08-24,"PXL_20260824_175231515.jpg (user capture, EXIF stripped 2026-09-10)",,in-distribution positive (contains coffee beans); independent of every training session
PXL_20260829_084655975.jpg,user_beans_independent,pixel,dev,2026-08-29,"PXL_20260829_084655975.jpg (user capture, EXIF stripped 2026-09-10)",,in-distribution positive (contains coffee beans); independent of every training session
PXL_20260830_071013670.jpg,user_beans_same_day,pixel,dev,2026-08-30,"PXL_20260830_071013670.jpg (user capture, EXIF stripped 2026-09-10)",,in-distribution positive (contains coffee beans); shot the same day as a training session -- not fully independent
PXL_20260831_051541829.jpg,user_beans_independent,pixel,holdout,2026-08-31,"PXL_20260831_051541829.jpg (user capture, EXIF stripped 2026-09-10)",,in-distribution positive (contains coffee beans); independent of every training session
PXL_20260903_062148691.jpg,user_beans_independent,pixel,holdout,2026-09-03,"PXL_20260903_062148691.jpg (user capture, EXIF stripped 2026-09-10)",,in-distribution positive (contains coffee beans); independent of every training session
