filename,scenario_tag,camera,split,date,source_title,source_url,notes
empty_tray/empty_tray_001.jpg,empty_tray,internet_proxy,dev,2026-09-10,File:Wooden cutting board 2017.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9e/Wooden_cutting_board_2017.jpg/960px-Wooden_cutting_board_2017.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
empty_tray/empty_tray_002.jpg,empty_tray,internet_proxy,holdout,2026-09-10,File:Wood Texture Background.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7a/Wood_Texture_Background.jpg/960px-Wood_Texture_Background.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
empty_tray/empty_tray_003.jpg,empty_tray,internet_proxy,holdout,2026-09-10,File:Wood Material Background Wallpaper Texture Concept (32881036551).jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/35/Wood_Material_Background_Wallpaper_Texture_Concept_%2832881036551%29.jpg/960px-Wood_Material_Background_Wallpaper_Texture_Concept_%2832881036551%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
empty_tray/empty_tray_004.jpg,empty_tray,internet_proxy,dev,2026-09-10,File:Wood-hole-texture.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/40/Wood-hole-texture.jpg/960px-Wood-hole-texture.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
empty_tray/empty_tray_005.jpg,empty_tray,internet_proxy,dev,2026-09-10,File:Wood background (1).jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/aa/Wood_background_%281%29.jpg/960px-Wood_background_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
empty_tray/empty_tray_006.jpg,empty_tray,internet_proxy,dev,2026-09-10,File:Wood planks background.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bf/Wood_planks_background.jpg/960px-Wood_planks_background.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
empty_tray/empty_tray_007.jpg,empty_tray,internet_proxy,holdout,2026-09-10,File:Wood background.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2e/Wood_background.jpg/960px-Wood_background.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
empty_tray/empty_tray_008.jpg,empty_tray,internet_proxy,dev,2026-09-10,File:Wood light background.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/14/Wood_light_background.jpg/960px-Wood_light_background.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
empty_tray/empty_tray_009.jpg,empty_tray,internet_proxy,holdout,2026-09-10,File:Artificial wood background.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dc/Artificial_wood_background.jpg/960px-Artificial_wood_background.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
empty_tray/empty_tray_010.jpg,empty_tray,internet_proxy,dev,2026-09-10,File:Wood planks texture.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7c/Wood_planks_texture.jpg/960px-Wood_planks_texture.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
